id,Associated Disease
71,"46,XY disorder of sex development due to isolated 17,20-lyase deficiency"
72,"46,XY Disorder of Sex Development Due To LH Defects"
73,"46,XY disorder of sex development due to testicular 17,20-desmolase deficiency"
74,"46,XY gonadal dysgenesis-motor and sensory neuropathy syndrome"
75,"46,XY Gonadal Dysgenesis, Complete or Partial, DHH-Related"
76,"46,Xy Gonadal Dysgenesis, Complete, Sry-Related"
77,"46,XY partial gonadal dysgenesis"
78,"46,XY sex reversal 1"
79,"46,XY sex reversal 10"
80,"46,XY sex reversal 2"
81,"46,XY sex reversal 3"
82,"46,XY sex reversal 4"
83,"46,XY sex reversal 5"
84,"46,XY sex reversal 6"
85,"46,XY sex reversal 7"
86,"46,XY sex reversal 9"
87,"46,Xy True Hermaphroditism, Sry-Related"
88,5-Alpha Reductase Deficiency
89,5-oxoprolinase deficiency
90,5q-syndrome
91,5q14.3 microdeletion syndrome
92,5q35 microduplication syndrome
93,6 alpha mercaptopurine sensitivity
94,6q terminal deletion syndrome
95,6q16 deletion syndrome
96,7-Dehydrocholesterol Reductase Deficiency
97,7q11.23 duplication syndrome
98,8p11.2 deletion syndrome
99,8p23.1 microdeletion syndrome
100,8q24.3 microdeletion syndrome
101,AA amyloidosis
102,Aarskog syndrome
103,"Aarskog-Scott syndrome, X-linked"
104,Aase Smith syndrome 2
105,ABCD syndrome
106,Abdominal abscess
107,abdominal aortic aneurysm
108,Abdominal Cryptorchidism
109,Abdominal Migraine
110,abdominal obesity-metabolic syndrome
111,abdominal obesity-metabolic syndrome 3
112,ABDOMINAL OBESITY-METABOLIC SYNDROME QUANTITATIVE TRAIT LOCUS 1
113,Abdominal Pain
114,Aberrant Crypt Foci
115,"ABeta amyloidosis, Arctic type"
116,"ABeta amyloidosis, dutch type"
117,"ABeta amyloidosis, Iowa type"
118,"ABeta amyloidosis, Italian type"
119,ABetaL34V amyloidosis
120,abetalipoproteinemia
121,ablepharon macrostomia syndrome
122,Abnormal coordination
123,Abnormal Deep Tendon Reflex
124,Abnormal uterine bleeding due to uterine fibroid
125,"Abnormalities, Drug-Induced"
126,"Abnormalities, Multiple"
127,Abnormality of the cornea
128,"Abortion, Habitual"
129,"Abortion, Spontaneous"
130,"Abortion, Tubal"
131,ABri amyloidosis
132,Abruptio Placentae
133,Abruzzo-Erickson syndrome
134,absence deformity of leg-cataract syndrome
135,absence epilepsy
136,absence of fingerprints-congenital milia syndrome
137,Absence Seizures
138,Absent reflex
139,absent tibia-polydactyly syndrome
140,ACAMPOMELIC CAMPOMELIC DYSPLASIA WITH AUTOSOMAL SEX REVERSAL
141,Acanthamoeba keratitis
142,Acantholytic Dyskeratotic Epidermal Nevus
143,Acatalasemia Japanese type
144,Acatalasemia Swiss type
145,acatalasia
146,Accessory Atrioventricular Bundle (disorder)
147,Accidental poisoning by methyl alcohol
148,Acephaly
149,aceruloplasminemia
150,Acetazolamide responsive myotonia
151,acetazolamide-responsive myotonia
152,acetyl-CoA acetyltransferase-2 deficiency
153,acetyl-coa carboxylase deficiency
154,achalasia
155,Ache
156,Acheiropodia
157,acheiropody
158,Acholinesterasemia
159,achondrogenesis
160,Achondrogenesis type 1A
161,Achondrogenesis type 1B
162,Achondrogenesis type 2
163,achondrogenesis type IA
164,achondrogenesis type IB
165,achondrogenesis type II
166,"Achondrogenesis, type IB (disorder)"
167,achondroplasia
168,"Achondroplasia, Severe, With Developmental Delay And Acanthosis Nigricans"
169,achromatopsia
170,achromatopsia 2
171,achromatopsia 3
172,achromatopsia 4
173,Achromatopsia 5
174,achromatopsia 7
175,"Achromatopsia incomplete, X-linked"
176,"Acid cholesteryl ester hydrolase deficiency, type 2"
177,Acidosis
178,acne
179,"acne inversa, familial, 1"
180,"acne inversa, familial, 2"
181,"acne inversa, familial, 3"
182,Acne vulgaris
183,acoustic neuroma
184,Acoustic Trauma
185,acquired angioedema
186,acquired color blindness
187,acquired generalized lipodystrophy
188,acquired hemophilia
189,acquired hyperprolactinemia
190,Acquired Hypogammaglobulinemia
191,acquired idiopathic inflammatory myopathy
192,Acquired Immunodeficiency Syndrome
193,acquired lactic acidosis
194,Acquired Language Disorders
195,Acquired Meningomyelocele
196,acquired metabolic disease
197,"Acquired Metabolic Diseases, Nervous System"
198,Acquired Nephrogenic Diabetes Insipidus
199,acquired paroxysmal nocturnal hemoglobinuria
200,acquired partial lipodystrophy
201,acquired polycythemia vera
202,Acquired Polyneuropathy
203,acquired thrombocytopenia
204,acquired von willebrand syndrome
205,acral dystrophic epidermolysis bullosa
206,acral lentiginous melanoma
207,acral peeling skin syndrome
208,acral self-healing collodion baby
209,Acrania
210,Acro-Osteolysis
211,Acro-renal-ocular syndrome
212,acrocallosal syndrome
213,"Acrocallosal syndrome, Schinzel type"
214,acrocapitofemoral dysplasia
215,Acrocephalosyndactylia
216,acrocephalosyndactyly
217,Acrocephaly
218,acrodermatitis
219,Acrodermatitis continua of Hallopeau
220,acrodermatitis enteropathica
221,acrodysostosis
222,acrodysostosis 1 with or without hormone resistance
223,acrodysostosis 2 with or without hormone resistance
224,acrodysostosis with multiple hormone resistance
225,acrofacial dysostosis Cincinnati type
226,acrofacial dysostosis Rodriguez type
227,"acrofacial dysostosis, Weyers type"
228,acrogeria
229,acrokeratosis verruciformis
230,acromegaloid facial appearance syndrome
231,acromegaly
232,ACROMEGALY DUE TO PITUITARY ADENOMA 1
233,acromelic frontonasal dysostosis
234,Acromelic frontonasal dysplasia
235,acromesomelic dysplasia
236,Acromesomelic dysplasia Hunter-Thompson type
237,"acromesomelic dysplasia, Demirhan type"
238,"acromesomelic dysplasia, Grebe type"
239,"acromesomelic dysplasia, Hunter-Thompson type"
240,"acromesomelic dysplasia, Maroteaux type"
241,acromicric dysplasia
242,acroosteolysis dominant type
243,acroosteolysis-keloid-like lesions-premature aging syndrome
244,"ACTH Deficiency, Isolated"
245,ACTH-dependent Cushing syndrome
246,ACTH-independent macronodular adrenal hyperplasia
247,ACTH-independent macronodular adrenal hyperplasia 1
248,ACTH-independent macronodular adrenal hyperplasia 2
249,"ACTH-INDEPENDENT MACRONODULAR ADRENAL HYPERPLASIA, SOMATIC"
250,Actin-Accumulation Myopathy
251,actinic keratosis
252,action myoclonus-renal failure syndrome
253,Action Tremor
254,activated PI3K-delta syndrome
255,Activated Protein C Resistance
256,Active Hyperemia
257,active peptic ulcer disease
258,ACUTE ALCOHOL WITHDRAWAL
259,Acute alcoholic intoxication
260,Acute Bacterial Prostatitis
261,acute basophilic leukemia
262,acute biphenotypic leukemia
263,Acute Cerebrovascular Accidents
264,Acute Confusional Migraine
265,Acute Confusional Senile Dementia
266,acute coronary syndrome
267,acute cystitis
268,acute diarrhea
269,acute disseminated encephalomyelitis
270,acute erythroid leukemia
271,"acute erythroleukemia, familial"
272,Acute exacerbation of asthma
273,Acute exacerbation of chronic bronchitis
274,Acute exacerbation of chronic congestive heart failure
275,acute fatty liver of pregnancy
276,acute gonococcal cervicitis
277,acute gonococcal endometritis
278,Acute gonococcal urethritis
279,Acute heart failure
280,acute infantile liver failure due to synthesis defect of mtDNA-encoded proteins
281,acute infantile liver failure-cerebellar ataxia-peripheral sensory motor neuropathy syndrome
282,Acute inflammatory demyelinating polyneuropathy
283,acute intermittent porphyria
284,acute interstitial pneumonia
285,acute kidney failure
286,Acute kidney injury
287,Acute Kidney Insufficiency
288,acute kidney tubular necrosis
289,acute liver failure
290,acute lung injury
291,acute lymphoblastic leukemia
292,acute megakaryoblastic leukemia
293,Acute Mesenteric Arterial Embolus
294,Acute Mesenteric Arterial Thrombosis
295,acute monocytic leukemia
296,acute myeloid leukemia
297,Acute Myeloid Leukemia (AML-M2)
298,Acute myeloid leukemia with FMS-like tyrosine kinase-3 mutation
299,acute myeloid leukemia with minimal differentiation
300,acute myeloid leukemia with multilineage dysplasia
301,acute myeloid leukemia with t(8;16)(p11;p13) translocation
302,"Acute myeloid leukemia, 11q23 abnormalities"
303,"Acute Myeloid Leukemia, M1"
304,acute myelomonocytic leukemia M4
305,"Acute myelomonocytic leukemia, FAB M4"
306,acute myocardial infarction
307,acute necrotizing encephalitis
308,Acute pain
309,acute pancreatitis
310,Acute postoperative pain
311,acute promyelocytic leukemia
312,Acute pulmonary edema
313,Acute Q fever
314,Acute schizophrenia
315,Acute ST segment elevation myocardial infarction
316,acute T cell leukemia
317,Acute tuberculosis
318,acute undifferentiated leukemia
319,Acute-Phase Reaction
320,acyl-CoA dehydrogenase 9 deficiency
321,ACys amyloidosis
322,adamantinoma
323,adamantinous craniopharyngioma
324,Adams-Oliver syndrome
325,Adams-Oliver syndrome 1
326,Adams-Oliver syndrome 2
327,Adams-Oliver syndrome 3
328,Adams-Oliver syndrome 4
329,Adams-Oliver syndrome 5
330,Adams-Oliver syndrome 6
331,ADan amyloidosis
332,Addicted to cocaine
333,Addison disease
334,Adducted Thumbs Syndrome
335,adenine phosphoribosyltransferase deficiency
336,adenocarcinoma
337,Adenocarcinoma of Lung
338,"Adenocarcinoma, Basal Cell"
339,"Adenocarcinoma, Oxyphilic"
340,Adenohypophyseal Diseases
341,adenoid cystic carcinoma
342,adenoma
343,"Adenoma, Basal Cell"
344,"Adenoma, Monomorphic"
345,"Adenoma, Trabecular"
346,Adenomatous Polyps
347,adenosine deaminase deficiency
348,adenosine kinase deficiency
349,adenosine monophosphate deaminase deficiency
350,adenylosuccinate lyase deficiency
351,ADH-Resistant Diabetes Insipidus
352,Adiadochokinesis
353,Adiponectin deficiency
354,"ADIPONECTIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 1"
355,"ADIPONECTIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 2"
356,"ADIPONECTIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 3"
357,Adjunct Therapy to Achieve Long-term Asthma Control
358,Adjunct Treatment to Inhibit Renal Drug Excretion
359,Adjustment Disorders
360,Adjustment Sleep Disorder
361,Administration of Corneal Anesthesia
362,Administration of Local Anesthetic Nerve Block
363,Administration of Regional Anesthesia
364,ADNP-related multiple congenital anomalies - intellectual disability - autism spectrum disorder
365,Adolescent Gynecomastia
366,Adolescent Obesity
367,Adrenal Cancer
368,adrenal carcinoma
369,adrenal cortex adenoma
370,adrenal cortex carcinoma
371,adrenal cortex disease
372,adrenal gland cancer
373,adrenal gland disease
374,Adrenal Gland Diseases
375,adrenal gland hyperfunction
376,Adrenal gland hypofunction
377,Adrenal Gland Neoplasms
378,adrenal gland pheochromocytoma
379,Adrenal hyperplasia 2
380,"Adrenal hyperplasia, congenital, type 5"
381,"adrenal hypoplasia, cytomegalic type"
382,"Adrenal Insufficiency, Congenital, With 46,Xy Sex Reversal"
383,"ADRENAL INSUFFICIENCY, NR5A1-RELATED"
384,adrenal medulla cancer
385,adrenal rest tumor
386,"adrenocortical carcinoma, hereditary"
387,adrenocortical insufficiency
388,adrenoleukodystrophy
389,"Adrenoleukodystrophy, Neonatal"
390,adrenomyeloneuropathy
391,adult acute respiratory distress syndrome
392,Adult Craniopharyngioma
393,Adult Diffuse Large B-Cell Lymphoma
394,adult Fanconi syndrome
395,Adult Glycogen Storage Disease Type II
396,Adult Gonococcal Conjunctivitis
397,Adult growth hormone deficiency
398,adult hepatocellular carcinoma
399,Adult Hodgkin Lymphoma
400,adult hypophosphatasia
401,Adult hypophosphatasia (disorder)
402,Adult junctional epidermolysis bullosa (disorder)
403,Adult Learning Disorders
404,adult malignant schwannoma
405,adult medulloblastoma
406,Adult Neuroaxonal Dystrophy
407,adult neuronal ceroid lipofuscinosis
408,adult oligodendroglioma
409,Adult onset autosomal dominant leukodystrophy
410,Adult Pelizaeus-Merzbacher Disease
411,adult polyglucosan body disease
412,adult Refsum disease
413,Adult Rickets
414,Adult Sandhoff Disease
415,ADULT syndrome
416,adult T-cell leukemia/lymphoma
417,Adult type dermatomyositis
418,Adult Type Ovarian Granulosa Cell Tumor
419,adult-onset autosomal dominant demyelinating leukodystrophy
420,adult-onset chronic progressive external ophthalmoplegia with mitochondrial myopathy
421,Adult-onset citrullinemia type 2
422,Adult-Onset Dystonias
423,adult-onset foveomacular vitelliform dystrophy
424,Adult-Onset Idiopathic Focal Dystonias
425,Adult-Onset Idiopathic Torsion Dystonias
426,adult-onset multiple mitochondrial DNA deletion syndrome due to DGUOK deficiency
427,"adult-onset proximal spinal muscular atrophy, autosomal dominant"
428,Advanced Breast Cancer Progression Post-Antiestrogen Therapy
429,Advanced or metastatic non-small cell lung cancer with EGFR exon 20 insertion mutations
430,Advanced Prostatic Carcinoma
431,advanced sleep phase syndrome
432,advanced sleep phase syndrome 1
433,advanced sleep phase syndrome 2
434,advanced sleep phase syndrome 3
435,"Advanced Sleep-Phase Syndrome, Familial"
436,Advanced/recurrent anaplasticlymphoma kinase (ALK)-positive non-small cell lung cancer
437,Adverse reaction to drug
438,"AERODIGESTIVE TRACT CANCER, SUSCEPTIBILITY TO"
439,"Affective Disorders, Psychotic"
440,Afibrinogenemia
441,African Burkitt's lymphoma
442,African iron overload
443,agammaglobulinemia
444,"agammaglobulinemia 2, autosomal recessive"
445,"agammaglobulinemia 3, autosomal recessive"
446,"agammaglobulinemia 4, autosomal recessive"
447,"agammaglobulinemia 5, autosomal dominant"
448,"agammaglobulinemia 6, autosomal recessive"
449,"agammaglobulinemia 7, autosomal recessive"
450,"agammaglobulinemia 8, autosomal dominant"
451,"Aganglionosis, Colonic"
452,"Aganglionosis, Rectosigmoid Colon"
453,AGAT deficiency
454,age related macular degeneration 1
455,age related macular degeneration 10
456,age related macular degeneration 11
457,age related macular degeneration 12
458,age related macular degeneration 13
459,age related macular degeneration 14
460,age related macular degeneration 15
461,age related macular degeneration 2
462,age related macular degeneration 4
463,age related macular degeneration 5
464,age related macular degeneration 6
465,age related macular degeneration 7
466,age related macular degeneration 8
467,age related macular degeneration 9
468,age-related macular degeneration
469,Age-Related Memory Disorders
470,Agenesis of corpus callosum
471,agenesis of the corpus callosum with peripheral neuropathy
472,aggressive systemic mastocytosis
473,Agitation associated with Bipolar Mania
474,Agitation associated with Schizophrenia
475,agnathia-otocephaly complex
476,agnosia
477,agranulocytosis
478,Agricultural Workers' Diseases
479,Agyria
480,AH Amyloidosis
481,AHDC1-related intellectual disability - obstructive sleep apnea - mild dysmorphism syndrome
482,AHL Amyloidosis
483,AICA-ribosiduria
484,Aicardi-Goutieres syndrome
485,Aicardi-Goutieres syndrome 1
486,"AICARDI-GOUTIERES SYNDROME 1, AUTOSOMAL DOMINANT"
487,Aicardi-Goutieres syndrome 2
488,Aicardi-Goutieres syndrome 3
489,Aicardi-Goutieres syndrome 4
490,Aicardi-Goutieres syndrome 5
491,AICARDI-GOUTIERES SYNDROME 5 (disorder)
492,Aicardi-Goutieres syndrome 6
493,Aicardi-Goutieres syndrome 7
494,AIDS
495,AIDS dementia complex
496,aids wasting syndrome
497,AIDS with Kaposi's sarcoma
498,AIDS-related Kaposi sarcoma
499,AIDS-Related Opportunistic Infections
500,AIFM1
501,Airway Obstruction
502,Akathisia
503,akinetic mutism
504,Akinetic Petit Mal
505,Akinetic-Rigid Variant of Huntington Disease
506,Al Awadi syndrome
507,Al Kaissi syndrome
508,Al-Raqad syndrome
509,"alacrima, achalasia, and impaired intellectual development syndrome"
510,"alacrima, achalasia, and intellectual disability syndrome"
511,Alagille syndrome
512,Alagille syndrome due to a JAG1 point mutation
513,Alagille syndrome due to a NOTCH2 point mutation
514,Aland island eye disease
515,Alazami-Yuan syndrome
516,Albinism ocular late onset sensorineural deafness
517,"Albinism, Ocular"
518,"ALBINISM, OCULOCUTANEOUS, TYPE III"
519,"Albinism, Tyrosinase-Negative"
520,"Albinism, Tyrosinase-Positive"
521,"Albinism, Yellow-Mutant"
522,Albuminuria
523,alcohol abuse
524,Alcohol consumption during pregnancy
525,alcohol dependence
526,Alcohol or Other Drugs use
527,Alcohol Related Neurodevelopmental Disorder
528,alcohol sensitivity
529,"alcohol sensitivity, acute"
530,Alcohol Toxicity
531,Alcohol Use Disorder
532,alcohol withdrawal
533,alcohol withdrawal delirium
534,Alcohol Withdrawal Seizures
535,Alcohol withdrawal syndrome
536,Alcohol Withdrawal-Induced Major Motor Seizure
537,alcohol-induced disorders
538,"Alcohol-Induced Disorders, Nervous System"
539,alcohol-related birth defect
540,alcohol-related disorders
541,alcoholic cardiomyopathy
542,alcoholic fatty liver disease
543,alcoholic hepatitis
544,Alcoholic Intoxication
545,"Alcoholic Intoxication, Chronic"
546,alcoholic liver cirrhosis
547,alcoholic liver diseases
548,alcoholic pancreatitis
549,Alcoholism
550,ALDH18A1-related de Barsy syndrome
551,aldosterone-producing adenoma with seizures and neurological abnormalities
552,aleukemic leukemia
553,Alexander disease
554,alexia
555,ALG1-CDG
556,ALG11-CDG
557,ALG12-CDG
558,ALG2-CDG
559,ALG3-CDG
560,ALG8-CDG
561,ALG9-CDG
562,ALK fusion gene-positive non-small-cell lung cancer
563,ALK-positive anaplastic large cell lymphoma
564,ALK-positive large B-cell lymphoma
565,Alkalosis
566,alkaptonuria
567,Alkuraya-Kucinskas syndrome
568,Allan-Herndon-Dudley syndrome
569,Allanson Pantzar McLeod syndrome
570,allergic asthma
571,allergic bronchopulmonary aspergillosis
572,allergic contact dermatitis
573,allergic disease
574,Allergic otitis externa
575,Allergic Reactions
576,allergic rhinitis
577,Allergic Rhinitis Prevention
578,allergic urticaria
579,Allodynia
580,Alloxan Diabetes
581,alobar holoprosencephaly
582,alopecia
583,alopecia areata
584,alopecia congenita keratosis palmoplantaris
585,alopecia universalis congenita
586,alopecia-intellectual disability syndrome 1
587,Alopecia-Mental Retardation Syndrome 1
588,"Alopecia, Male Pattern"
589,"alopecia, neurologic defects, and endocrinopathy syndrome"
590,alpha 1-antitrypsin deficiency
591,alpha thalassemia
592,Alpha thalassemia intermedia
593,alpha thalassemia-intellectual disability syndrome type 1
594,alpha thalassemia-X-linked intellectual disability syndrome
595,"alpha-1-Antitrypsin Deficiency, Autosomal Recessive"
596,alpha-2-macroglobulin deficiency
597,alpha-2-plasmin inhibitor deficiency
598,Alpha-Aminoadipic Semialdehyde Deficiency Disease
599,alpha-Dystroglycanopathies
600,"ALPHA-FETOPROTEIN, HEREDITARY PERSISTENCE OF"
601,alpha-L-Iduronidase Deficiency
602,alpha-mannosidosis
603,alpha-methylacyl-CoA racemase deficiency
604,alpha-N-acetylgalactosaminidase deficiency type 1
605,alpha-N-acetylgalactosaminidase deficiency type 2
606,alpha-N-acetylgalactosaminidase deficiency type 3
607,Alpha-Sarcoglycanopathies
608,alpha-thalassemia-myelodysplastic syndrome
609,Alport syndrome
610,Alport syndrome-intellectual disability-midface hypoplasia-elliptocytosis syndrome
611,"Alport Syndrome, Autosomal Dominant"
612,"Alport Syndrome, Autosomal Recessive"
613,"Alport syndrome, dominant type"
614,"Alport syndrome, recessive type"
615,"Alport Syndrome, X-Linked"
616,Alstrom syndrome
617,alternating hemiplegia of childhood
618,alternating hemiplegia of childhood 1
619,alternating hemiplegia of childhood 2
620,Alveolar Bone Loss
621,Alveolar capillary dysplasia
622,alveolar capillary dysplasia with misalignment of pulmonary veins
623,Alveolar pyorrhea
624,alveolar rhabdomyosarcoma
625,alveolar soft part sarcoma
626,Alzheimer disease
627,Alzheimer disease 18
628,Alzheimer disease 19
629,Alzheimer disease 2
630,Alzheimer disease 3
631,Alzheimer disease 4
632,Alzheimer disease 9
633,Alzheimer disease type 1
634,"Alzheimer Disease, Early Onset"
635,"Alzheimer Disease, Early-Onset, With Cerebral Amyloid Angiopathy"
636,"ALZHEIMER DISEASE, FAMILIAL, 1"
637,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia"
638,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Unusual Plaques"
639,"Alzheimer disease, familial, type 3"
640,"Alzheimer Disease, Late Onset"
641,"ALZHEIMER DISEASE, PROTECTION AGAINST"
642,"Alzheimer disease, susceptibility to, mitochondrial"
643,"Alzheimer's Disease, Focal Onset"
644,Amaurosis
645,"Amaurosis congenita of Leber, type 1"
646,Amaurosis hypertrichosis
647,amaurosis-hypertrichosis syndrome
648,Amaurotic Familial Idiocy
649,Ambiguous Genitalia
650,amebiasis
651,amelanotic melanoma
652,ameloblastoma
653,amelocerebrohypohidrotic syndrome
654,amelogenesis imperfecta
655,Amelogenesis Imperfecta hypomaturation type
656,amelogenesis imperfecta hypomaturation type 2A2
657,amelogenesis imperfecta hypomaturation type 2A3
658,amelogenesis imperfecta hypomaturation type 2A4
659,amelogenesis imperfecta hypomaturation type 2A5
660,Amelogenesis imperfecta local hypoplastic form
661,Amelogenesis imperfecta nephrocalcinosis
662,Amelogenesis imperfecta pigmented hypomaturation type
663,amelogenesis imperfecta type 1A
664,amelogenesis imperfecta type 1B
665,amelogenesis imperfecta type 1C
666,amelogenesis imperfecta type 1E
667,amelogenesis imperfecta type 1F
668,amelogenesis imperfecta type 1G
669,amelogenesis imperfecta type 1H
670,amelogenesis imperfecta type 2A1
671,amelogenesis imperfecta type 3B
672,amelogenesis imperfecta-gingival hyperplasia syndrome
673,"Amelogenesis imperfecta, hypomaturation hypoplasia type with taurodontism"
674,"amelogenesis imperfecta, hypomaturation type, IIa6"
675,"Amelogenesis Imperfecta, Hypomaturation Type, with Snow-Capped Teeth"
676,"Amelogenesis imperfecta, hypoplastic-hypomaturation, X-linked 1"
677,"AMELOGENESIS IMPERFECTA, HYPOPLASTIC/HYPOMATURATION, X-LINKED 1"
678,"amelogenesis imperfecta, type 1J"
679,"amelogenesis imperfecta, type 3A"
680,"Amelogenesis Imperfecta, Type III"
681,"AMELOGENESIS IMPERFECTA, TYPE IJ"
682,amenorrhea
683,Amenorrhea Secondary to Ovarian Dysfunction
684,Ametropia
685,"Amino Acid Metabolism, Inborn Errors"
686,"Amino Acid Metabolism, Inherited Disorders"
687,aminoacylase 1 deficiency
688,Aminoacylase 2 Deficiency
689,aminoglycoside-induced deafness
690,Amish Brittle Hair Brain Syndrome
691,Amish Infantile Epilepsy Syndrome
692,Amish lethal microcephaly
693,AML M4 Eo with inv(16) or t(16;16)
694,Amnesia
695,amnestic disorder
696,Amnestic State
697,amnionitis
698,amphetamine abuse
699,Amphetamine Addiction
700,Amphetamine-Related Disorders
701,Amyelencephalus
702,Amygdalo-Hippocampal Epilepsy
703,"Amylo-1,6-glucosidase deficiency"
704,"AMYLOID CARDIOMYOPATHY, TRANSTHYRETIN-RELATED"
705,"Amyloid Neuropathies, Familial"
706,"Amyloid Polyneuropathy, British Type (disorder)"
707,"Amyloid Polyneuropathy, Swiss Type"
708,amyloidosis
709,"Amyloidosis, Cerebral, with Spongiform Encephalopathy"
710,"Amyloidosis, Cerebroarterial, App-Related"
711,"Amyloidosis, Familial"
712,"AMYLOIDOSIS, LEPTOMENINGEAL, TRANSTHYRETIN-RELATED"
713,"amyloidosis, primary localized cutaneous, 1"
714,"amyloidosis, primary localized cutaneous, 2"
715,"amyloidosis, primary localized cutaneous, 3"
716,amyotrophic lateral sclerosis
717,AMYOTROPHIC LATERAL SCLEROSIS 1
718,"AMYOTROPHIC LATERAL SCLEROSIS 1, AUTOSOMAL RECESSIVE"
719,AMYOTROPHIC LATERAL SCLEROSIS 10 (disorder)
720,Amyotrophic lateral sclerosis 17
721,"AMYOTROPHIC LATERAL SCLEROSIS 2, JUVENILE (disorder)"
722,AMYOTROPHIC LATERAL SCLEROSIS 21
723,AMYOTROPHIC LATERAL SCLEROSIS 6 (disorder)
724,"Amyotrophic Lateral Sclerosis 6, Autosomal Recessive"
725,AMYOTROPHIC LATERAL SCLEROSIS 8 (disorder)
726,amyotrophic lateral sclerosis type 1
727,amyotrophic lateral sclerosis type 10
728,amyotrophic lateral sclerosis type 11
729,amyotrophic lateral sclerosis type 12
730,amyotrophic lateral sclerosis type 15
731,amyotrophic lateral sclerosis type 16
732,amyotrophic lateral sclerosis type 17
733,amyotrophic lateral sclerosis type 18
734,amyotrophic lateral sclerosis type 19
735,"amyotrophic lateral sclerosis type 2, juvenile"
736,amyotrophic lateral sclerosis type 20
737,amyotrophic lateral sclerosis type 21
738,amyotrophic lateral sclerosis type 22
739,amyotrophic lateral sclerosis type 23
740,amyotrophic lateral sclerosis type 4
741,amyotrophic lateral sclerosis type 5
742,amyotrophic lateral sclerosis type 6
743,amyotrophic lateral sclerosis type 8
744,amyotrophic lateral sclerosis type 9
745,Amyotrophic Lateral Sclerosis With Dementia
746,amyotrophic lateral sclerosis-parkinsonism-dementia complex
747,"Amyotrophic Lateral Sclerosis, Chmp2B-Related"
748,"Amyotrophic Lateral Sclerosis, Guam Form"
749,"Amyotrophic Lateral Sclerosis, Sporadic"
750,"amyotrophic lateral sclerosis, susceptibility to, 24"
751,"amyotrophic lateral sclerosis, susceptibility to, 25"
752,amyotrophic neuralgia
753,"AMYOTROPHY, HEREDITARY NEURALGIC"
754,anal carcinoma
