Primary Table	Column name	Column description	Data Type
knex_migrations	id	TCRD Identifier and Primary key	int(10) unsigned
knex_migrations	name	Name of the migrated data	varchar(255)
knex_migrations	batch	Batch of the migrated data	int(11)
knex_migrations	migration_time	Migration time of the data	timestamp
knex_migrations_lock	index	?	int(10) unsigned
knex_migrations_lock	is_locked	?	int(11)
lincs	id	TCRD identifier for the LINCS table	int(11)
lincs	protein_id	Foreign key to column id in table protein.	int(11)
lincs	cellid	ATCC cell line	varchar(10)
lincs	zscore	Z-score of the differential expression values for the specific gene	decimal(8,6)
lincs	pert_dcid	DrugCentral ID for perturbagen drug	int(11)
lincs	pert_smiles	Chemical structure in SMILES format for perturbagen drug	text
locsig	id	TCRD identifier for the LocSigDB table	int(11)
locsig	protein_id	Foreign key to column id in table protein.	int(11)
locsig	location	Cellular location of protein	varchar(255)
locsig	signal	Generic structure of protein localization sign...	varchar(255)
locsig	pmids	PubMed references	text
mondo	mondoid	TCRD identifier and Primary key	varchar(20)
mondo	name	Name of the data	text
mondo	def	Definition of the data	text
mondo	comment	Comments on data	text
mondo_parent	mondoid	Foreign key to column mondoid in table mondo.	varchar(20)
mondo_parent	parentid	Parentid of the table	varchar(20)
mondo_xref	id	TCRD identifier and Primary key	int(11)
mondo_xref	mondoid	Foreign key to column mondoid in table mondo.	varchar(20)
mondo_xref	db	Database name, prefix	varchar(24)
mondo_xref	value	Xref ID withtout prefix	varchar(255)
mondo_xref	equiv_to	Indicates if the data is equivalent to 	tinyint(1)
mondo_xref	source_info	Source_Info of the data	text
mondo_xref	xref	Xref ID with prefix	varchar(255)
mpo	mpid	Mammalian Phenotype Ontology (MPO) term ID	char(10)
mpo	parent_id	MPO parent term ID	varchar(10)
mpo	name	MPO term name	text
mpo	def	MPO term definition	text
ncats_d2da	ncats_disease_id	TCRD Identifier for ncats_disease	int(10) unsigned
ncats_d2da	disease_assoc_id	Disease association ID	int(11)
ncats_d2da	direct	?	tinyint(1)
ncats_dataSource	dataSource	TCRD identifier and Primary key	varchar(50)
ncats_dataSource	dataSourceDescription	Description of data source	varchar(512)
ncats_dataSource	url	URL for ncats_dataSource	varchar(128)
ncats_dataSource	license	License information	varchar(128)
ncats_dataSource	licenseURL	URL for license information	varchar(128)
ncats_dataSource	citation	Indicates if cited	varchar(512)
ncats_dataSource_map	id	TCRD identifier and Primary key	int(10) unsigned
ncats_dataSource_map	dataSource	Name of the datasource	varchar(50)
ncats_dataSource_map	url	URL for the datasource	varchar(128)
ncats_dataSource_map	license	License information	varchar(128)
ncats_dataSource_map	licenseURL	URL for license information	varchar(128)
ncats_dataSource_map	protein_id	Foreign key to column id in table protein.	int(11)
ncats_dataSource_map	ncats_ligand_id	Foreign key to column id in table ncats_ligands.	int(10) unsigned
ncats_dataSource_map	disease_name	Name of the disease	text
ncats_disease	id	TCRD identifier and Primary key	int(10) unsigned
ncats_disease	name	Name of the disease	varchar(255)
ncats_disease	uniprot_description	UniProt disease description	text
ncats_disease	do_description	Disease Ontology disease description	text
ncats_disease	mondo_description	MONDO disease description	text
ncats_disease	mondoid	Foreign key to column mondoid in table mondo.	varchar(20)
ncats_disease	maxTDL	Maximum Target Dev Level (TDL) of associated targets	varchar(6)
ncats_disease	target_count	Count of the associated targets	int(11)
ncats_disease	direct_target_count	Count of directly associated targets (not to child term)	int(11)
ncats_disease	gard_rare	Rare disease according to NCATS GARD database	tinyint(1)
ncats_disease_ancestry	id	TCRD identifier and Primary key	int(10) unsigned
ncats_disease_ancestry	ncats_disease_id	Foreign key to column id in table ncats_disease.	int(10) unsigned
ncats_disease_ancestry	ancestor	Ancestor disease name	varchar(256)
ncats_disease_ancestry	mondoid	Ancestor MONDO identifier	varchar(20)
ncats_ligand_activity	id	TCRD identifier and Primary key	int(10) unsigned
ncats_ligand_activity	ncats_ligand_id	Foreign key to column id in table ncats_ligands.	int(10) unsigned
ncats_ligand_activity	target_id	Foreign key to column id in table target.	int(11)
ncats_ligand_activity	smiles	SMILES of ligand	text
ncats_ligand_activity	act_value	Activity value	decimal(10,8)
ncats_ligand_activity	act_type	Activity type	varchar(255)
ncats_ligand_activity	action_type	Action type	varchar(255)
ncats_ligand_activity	reference	Information of reference	text
ncats_ligand_activity	reference_source	Source of the reference	varchar(255)
ncats_ligand_activity	pubmed_ids	TCRD identifier for pubmed	text
ncats_ligands	id	TCRD identifier number and Primary key	int(10) unsigned
ncats_ligands	identifier	TCRD identifier	varchar(255)
ncats_ligands	name	Name	text
ncats_ligands	isDrug	Indicates if it is a drug	tinyint(1)
ncats_ligands	smiles	SMILES of ligand	text
ncats_ligands	PubChem	PubChem compound ID of ligand	varchar(255)
ncats_ligands	ChEMBL	ChEMBL molecule ID of ligand	varchar(255)
ncats_ligands	Guide to Pharmacology	Guide to Pharmacology ID of ligand	varchar(255)
ncats_ligands	DrugCentral	DrugCentral ID of ligand	varchar(255)
ncats_ligands	description	Description	text
ncats_ligands	actCnt	Activity count	int(11)
ncats_ligands	targetCount	Target count	int(11)
ncats_ligands	unii	UNII ID	varchar(10)
ncats_ligands	pt	Preferred term/name	varchar(128)
ncats_p2da	id	TCRD identifier and Primary key	int(10) unsigned
ncats_p2da	name	Name of the disease	text
ncats_p2da	protein_id	Foreign key to column id in table protein.	int(11)
ncats_p2da	disease_assoc_id	Foreign key to column id in table disease.	int(11)
ncats_p2da	direct	Boolean direct association (true or false)	tinyint(1)
ncats_ppi	id	TCRD identifier and Primary key	int(10) unsigned
ncats_ppi	ppitypes	Indicates type and source of the protein-protein interaction (PPI)	varchar(255)
ncats_ppi	protein_id	Foreign key to column id in table protein.	int(11)
ncats_ppi	other_id	Foreign key to column id in table protein.	int(11)
ncats_ppi	p_int	?	decimal(10,9)
ncats_ppi	p_ni	?	decimal(10,9)
ncats_ppi	p_wrong	?	decimal(10,9)
ncats_ppi	evidence	?	varchar(255)
ncats_ppi	interaction_type	Indicates the type of the interaction	varchar(100)
ncats_ppi	score	Indicates score of the ppi	int(11)
ncats_typeahead_index	id	TCRD identifier and Primary key	int(10) unsigned
ncats_typeahead_index	category	Category of the index	varchar(45)
ncats_typeahead_index	value	Value of the index	varchar(255)
ncats_typeahead_index	reference_id	Reference id of the index	varchar(255)
nhprotein	id	TCRD identifier for the nhprotein table (NH = non-human)	int(11)
nhprotein	uniprot	UniProt entry ID	varchar(20)
nhprotein	name	UniProt entry ID	varchar(255)
nhprotein	description	UniProt protein name	text
nhprotein	sym	Gene symbol	varchar(30)
nhprotein	species	Organism	varchar(40)
nhprotein	taxid	UniProt taxonomy ID	int(11)
nhprotein	geneid	HGNC gene ID	int(11)
nih_list	id	TCRD identifier and Primary key	int(10) unsigned
nih_list	protein_id	Foreign key to column id in table protein.	int(11)
nih_list	symbol	symbol of the data	varchar(20)
nih_list	family	Family to which the data belongs	varchar(20)
nih_list	nih_list	Foreign key to column id in table nih_list_type.	int(10) unsigned
nih_list_type	id	TCRD identifier and Primary key	int(10) unsigned
nih_list_type	list_type	Indicates the type of the list	varchar(255)
omim	mim	Phenotype Mendelian Inheritance in Man (MIM) number	int(11)
omim	title	Phenotype name	varchar(255)
omim_ps	id	TCRD identifier for the omim_ps table	int(11)
omim_ps	omim_ps_id	OMIM phenotypic series ID	char(8)
omim_ps	mim	Foreign key to column mim in table omim.	int(11)
omim_ps	title	Phenotypic series name	varchar(255)
ortholog	id	TCRD identifier for the HGNC Comparison of Orthology Predictions (HCOP) ortholog table	int(11)
ortholog	protein_id	Foreign key to column id in table protein.	int(11)
ortholog	taxid	UniProt taxonomy ID	int(11)
ortholog	species	Organism	varchar(255)
ortholog	db_id	HCOP ortholog database ID	varchar(255)
ortholog	geneid	HGNC gene ID	int(11)
ortholog	symbol	Gene symbol	varchar(255)
ortholog	name	Human protein name	varchar(255)
ortholog	mod_url	Model organism database URL	text
ortholog	sources	Data sources	varchar(255)
ortholog_disease	id	TCRD identifier for the ortholog-disease association table	int(11)
ortholog_disease	protein_id	Foreign key to column id in table protein.	int(11)
ortholog_disease	did	Disease ID	varchar(255)
ortholog_disease	name	Disease name	varchar(255)
ortholog_disease	ortholog_id	Foreign key to column id in table ortholog.	int(11)
ortholog_disease	score	Ortholog-disease association score	varchar(255)
p2dto	dtoid	Drug Target Ontology (DTO) ID	varchar(255)
p2dto	protein_id	TCRD protein ID	int(11)
p2dto	generation	?	int(11)
p2pc	panther_class_id	Foreign key to column id in table panther_class.	int(11)
p2pc	protein_id	Foreign key to column id in table protein.	int(11)
panther_class	id	TCRD identifier for the Panther protein classification system table	int(11)
panther_class	pcid	Panther class ID	char(7)
panther_class	parent_pcids	Panther class IDs for parents	varchar(255)
panther_class	name	Panther class name	text
panther_class	description	Empty (reserved for future use)	text
patent_count	id	TCRD identifier for the patent count table	int(11)
patent_count	protein_id	Foreign key to column id in table protein.	int(11)
patent_count	year	Year	int(11)
patent_count	count	Number of patents published in a certain year mentioning the specified protein target	int(11)
pathway	id	TCRD identifier for the pathway table	int(11)
pathway	target_id	Foreign key to column id in table target.	int(11)
pathway	protein_id	Foreign key to column id in table protein.	int(11)
pathway	pwtype	Foreign key to column name in table pathway_type.	varchar(255)
pathway	id_in_source	Pathway ID in the source database	varchar(255)
pathway	name	Pathway name	text
pathway	description	Empty (reserved for future use)	text
pathway	url	Pathway URL	text
pathway_type	name	Name of the pathway data source	varchar(255)
pathway_type	url	URL of the pathway data source	text
phenotype	id	TCRD identifier for the phenotype table	int(11)
phenotype	ptype	Foreign key to column name in table phenotype_type.	varchar(255)
phenotype	protein_id	Foreign key to column id in table protein.	int(11)
phenotype	nhprotein_id	Foreign key to column id in table nhprotein.	int(11)
phenotype	trait	Phenotype trait information	text
phenotype	top_level_term_id	Top level phenotype term ID	varchar(255)
phenotype	top_level_term_name	Top level phenotype term name	varchar(255)
phenotype	term_id	Phenotype term ID	varchar(255)
phenotype	term_name	Phenotype term name	varchar(255)
phenotype	term_description	Empty (reserved for future use)	text
phenotype	p_value	p-value of protein-phenotype association	double
phenotype	percentage_change	Measure of effect size for continuous data	varchar(255)
phenotype	effect_size	Effect size	varchar(255)
phenotype	procedure_name	Name of phenotyping procedure	varchar(255)
phenotype	parameter_name	Name of phenotyping parameter	varchar(255)
phenotype	gp_assoc	Gene-phenotype association flag	tinyint(1)
phenotype	statistical_method	Name of statistical procedure	text
phenotype	sex	Sex	varchar(8)
phenotype	original_id	?	int(11)
phenotype_type	name	Source of the phenotype data	varchar(255)
phenotype_type	ontology	Ontology used by source	varchar(255)
phenotype_type	description	Description of source	text
pmscore	id	TCRD identifier for the Jensen PubMed scores table	int(11)
pmscore	protein_id	Foreign key to column id in table protein.	int(11)
pmscore	year	Year for whom the score was computed	int(11)
pmscore	score	Score value	decimal(12,6)
ppi_type	name	Protein-protein interaction (PPI) data source	varchar(255)
ppi_type	description	PPI data source description	text
ppi_type	url	PPI data source description	text
protein	id	TCRD protein identifier	int(11)
protein	name	UniProt entry name	varchar(255)
protein	description	Uniprot recommended protein name	text
protein	uniprot	UniProt ID	varchar(20)
protein	up_version	UniProt ID version	int(11)
protein	geneid	NCBI gene ID	int(11)
protein	sym	Protein symbol	varchar(20)
protein	family	Uniprot family and domains information derived from sequence similarities	varchar(255)
protein	chr	Chromosome	varchar(255)
protein	seq	Protein sequence	text
protein	dtoid	DTO ID	varchar(13)
protein	stringid	Ensembl protein ID (as used by STRING-DB)	varchar(15)
protein	dtoclass	DTO class	varchar(255)
protein	preferred_symbol	Indicates the preferred symbol	varchar(20)
protein2pubmed	protein_id	Foreign key to column id in table protein.	int(11)
protein2pubmed	pubmed_id	Foreign key to column id in table pubmed	int(11)
protein2pubmed	gene_id	Indicates gene identification number	int(11)
protein2pubmed	source	Source of the protein	varchar(45)
provenance	id	TCRD identifier and Primary key	int(11)
provenance	dataset_id	Foreign key to column id in table dataset.	int(11)
provenance	table_name	Indicates table name	varchar(255)
provenance	column_name	Indicates column name	varchar(255)
provenance	where_clause	Represents the where clause used	text
provenance	comment	Shows the comments on data	text
ptscore	id	TCRD identifier for the PubTator scores table	int(11)
ptscore	protein_id	Foreign key to column id in table protein.	int(11)
ptscore	year	Year for whom the score was computed	int(11)
ptscore	score	Score value	decimal(12,6)
sequence_annotation	id	TCRD identifier and Primary key	int(10) unsigned
sequence_annotation	dataSource	Indicates the source of the data	varchar(255)
sequence_annotation	protein_id	Foreign key to column id in table protein.	int(11)
sequence_annotation	residue_start	Starting position of protein residue	int(11)
sequence_annotation	residue_end	Ending position of protein residue	int(11)
sequence_annotation	type	Represents the types of the annotation	enum('Activation Loop','Activation Segment','alphaC-beta4 Loop','CMGC Insert','Gatekeeper','Linker','KeyAA','Motif','beta-strand','alpha-helix','C-Lobe','C-Spine','RD Pocket','Catalytic Loop','Glycine Loop','N-Lobe','R-Spine','R-Spine Shell','Subdomain')
sequence_annotation	name	Name of the annotation	varchar(255)
sequence_variant	id	TCRD identifier and Primary key	int(10) unsigned
sequence_variant	dataSource	Indicates the source of the data	varchar(255)
sequence_variant	protein_id	Foreign key to column id in table protein.	int(11)
sequence_variant	residue	Residue number	int(11)
sequence_variant	variant	Variant of the sequence	varchar(1)
sequence_variant	bits	?	float(12,11)
t2tc	target_id	Foreign key to column id in table target.	int(11)
t2tc	protein_id	Foreign key to column id in table protein.	int(11)
t2tc	nucleic_acid_id	Foreign key to the (future) nucleic_acid table	int(11)
target	id	TCRD target identifier	int(11)
target	name	Target name	varchar(255)
target	ttype	Reserved for future use - now only Single Protein	varchar(255)
target	description	Empty (reserved for future use)	text
target	comment	Empty (reserved for future use)	text
target	tdl	Target development level, as defined at http://juniper.health.unm.edu/tcrd/	enum('Tclin+','Tclin','Tchem+','Tchem','Tbio','Tgray','Tdark')
target	idg	Flag to mark if protein is on the IDG understudied proteins list (1) or not (0)	tinyint(1)
target	fam	Major target family	enum('Enzyme','Epigenetic','GPCR','IC','Kinase','NR','oGPCR','TF','TF; Epigenetic','Transporter')
target	famext	Target family	varchar(255)
tdl_info	id	TCRD identifier for the Target Developmen Level (TDL) information table	int(11)
tdl_info	itype	Foreign key to column name in table info_type.	varchar(255)
tdl_info	target_id	Foreign key to column id in table target.	int(11)
tdl_info	protein_id	Foreign key to column id in table protein.	int(11)
tdl_info	nucleic_acid_id	Empty (reserved for future use)	int(11)
tdl_info	string_value	URL link or textual description of information used in computing TDL levels	text
tdl_info	number_value	Information in numerical (floating point) format (Jensen Pubmed or Pubtator scores, etc)	decimal(12,6)
tdl_info	integer_value	Information in integer format (antibody count, etc)	int(11)
tdl_info	date_value	Empty (reserved for future use)	date
tdl_info	boolean_value	Binary information (Is Transcription Factor)	tinyint(1)
tdl_info	curration_level	Empty (reserved for future use)	varchar(50)
tiga	id	TCRD TIGA association ID	int(11)
tiga	protein_id	Foreign key to column id in table protein.	int(11)
tiga	ensg	Ensembl gene ID	varchar(15)
tiga	efoid	EFO ID (trait ID)	varchar(15)
tiga	trait	Trait name (from EFO)	varchar(255)
tiga	n_study	Number of studies for this gene-trait association	int(11)
tiga	n_snp	Number of SNPs for this gene-trait association	int(11)
tiga	n_snpw	Number of SNPs for this gene-trait pair, weighted by SNP-gene distance	decimal(6,3)
tiga	geneNtrait	Number of traits associated with this gene	int(11)
tiga	geneNstudy	Number of studies associated with this gene	int(11)
tiga	traitNgene	Number of genes associated with this trait	int(11)
tiga	traitNstudy	Number of studies associated with this trait	int(11)
tiga	pvalue_mlog_median	median(-log(pvalue))	decimal(7,3)
tiga	pvalue_mlog_max	max(-log(pvalue))	decimal(8,3)
tiga	or_median	median(OR)	decimal(8,3)
tiga	n_beta	Number of beta values for this gene-trait association	int(11)
tiga	study_N_mean	mean(N) for studies supporting this association	int(11)
tiga	rcras	Relative Citation Ratio Aggregate Score	decimal(5,3)
tiga	meanRank	mean rank for selected gene-trait association variables (see TIGA documentation for list)	decimal(18,12)
tiga	meanRankScore	100 - percentile(meanRank)	decimal(18,14)
tiga	ncats_disease_id	Foreign key to column id in table ncats_disease.	int(10) unsigned
tiga_provenance	id	TCRD TIGA provenance ID	int(11)
tiga_provenance	ensg	Ensembl gene ID	varchar(15)
tiga_provenance	efoid	EFO ID (trait ID)	varchar(15)
tiga_provenance	study_acc	GWAS Catalog study accession	varchar(20)
tiga_provenance	pubmedid	PubMed ID	int(11)
tinx_disease	doid	Disease DOID	varchar(20)
tinx_disease	name	Disease name	text
tinx_disease	summary	Disease summary	text
